iter	Passed	Remaining
0	160	159848
1	160	80124
2	161	53597
3	162	40396
4	162	32393
5	163	27077
6	164	23334
7	165	20524
8	166	18347
9	167	16584
10	168	15154
11	169	13935
12	170	12909
13	170	12018
14	171	11249
15	171	10574
16	172	9978
17	173	9447
18	173	8969
19	174	8540
20	174	8152
21	175	7799
22	176	7477
23	176	7183
24	177	6914
25	177	6666
26	178	6436
27	179	6221
28	179	6019
29	180	5832
30	181	5658
31	181	5494
32	182	5342
33	183	5201
34	183	5067
35	184	4937
36	185	4816
37	185	4700
38	186	4587
39	186	4481
40	187	4380
41	187	4287
42	188	4197
43	189	4112
44	189	4029
45	190	3949
46	191	3875
47	191	3802
48	192	3732
49	192	3664
50	193	3598
51	193	3535
52	194	3474
53	195	3416
54	195	3360
55	196	3305
56	196	3254
57	197	3203
58	197	3154
59	198	3108
60	199	3064
61	199	3022
62	200	2980
63	201	2940
64	201	2902
65	202	2864
66	203	2826
67	203	2787
68	204	2752
69	204	2718
70	205	2685
71	205	2652
72	206	2621
73	207	2591
74	207	2561
75	208	2531
76	208	2503
77	209	2476
78	210	2449
79	210	2424
80	211	2398
81	212	2373
82	212	2349
83	213	2326
84	213	2300
85	214	2278
86	214	2254
87	215	2233
88	216	2211
89	216	2190
90	217	2169
91	217	2148
92	218	2129
93	218	2109
94	219	2089
95	219	2071
96	220	2052
97	221	2034
98	221	2017
99	222	1999
100	222	1982
101	223	1963
102	223	1946
103	224	1930
104	224	1914
105	225	1899
106	225	1884
107	226	1869
108	226	1854
109	227	1840
110	227	1825
111	228	1812
112	229	1798
113	229	1784
114	230	1771
115	230	1757
116	231	1744
117	231	1732
118	232	1718
119	232	1706
120	233	1693
121	233	1681
122	233	1668
123	234	1656
124	235	1645
125	235	1634
126	236	1623
127	236	1611
128	237	1600
129	237	1590
130	238	1580
131	238	1569
132	239	1559
133	239	1550
134	240	1540
135	241	1531
136	241	1521
137	242	1511
138	242	1502
139	243	1493
140	243	1483
141	244	1475
142	244	1466
143	245	1457
144	245	1449
145	246	1440
146	247	1433
147	247	1425
148	248	1417
149	248	1409
150	249	1401
151	249	1394
152	250	1386
153	250	1378
154	251	1371
155	252	1363
156	252	1356
157	253	1349
158	253	1341
159	254	1335
160	255	1329
161	255	1322
162	256	1316
163	257	1310
164	257	1304
165	258	1298
166	258	1291
167	259	1285
168	260	1279
169	260	1273
170	261	1266
171	261	1260
172	262	1254
173	262	1248
174	263	1242
175	264	1236
176	264	1230
177	265	1224
178	265	1218
179	266	1212
180	266	1205
181	267	1200
182	267	1194
183	268	1188
184	268	1184
185	269	1179
186	270	1174
187	270	1168
188	271	1163
189	271	1158
190	272	1153
191	272	1148
192	273	1143
193	274	1138
194	274	1133
195	275	1128
196	275	1123
197	276	1118
198	276	1114
199	277	1109
200	277	1104
201	278	1099
202	278	1095
203	279	1090
204	280	1086
205	280	1081
206	281	1076
207	281	1072
208	282	1067
209	282	1063
210	283	1060
211	284	1056
212	284	1051
213	285	1047
214	285	1043
215	286	1039
216	287	1035
217	287	1031
218	288	1027
219	288	1023
220	289	1019
221	289	1015
222	290	1011
223	290	1007
224	291	1003
225	292	1000
226	292	996
227	293	992
228	293	988
229	294	984
230	294	981
231	295	977
232	295	973
233	296	970
234	296	966
235	297	963
236	298	959
237	298	956
238	299	952
239	299	949
240	300	945
241	300	941
242	301	938
243	301	935
244	302	931
245	302	928
246	303	925
247	304	922
248	304	918
249	305	915
250	305	912
251	306	908
252	306	905
253	307	902
254	307	899
255	308	896
256	308	892
257	309	889
258	309	886
259	310	883
260	311	880
261	311	877
262	312	874
263	312	871
264	313	868
265	313	865
266	314	862
267	314	859
268	315	856
269	315	853
270	316	851
271	316	848
272	317	845
273	317	842
274	318	839
275	319	837
276	319	834
277	320	831
278	320	828
279	321	826
280	321	823
281	322	820
282	322	817
283	323	815
284	323	812
285	324	809
286	325	807
287	325	804
288	326	802
289	326	800
290	327	797
291	327	794
292	328	792
293	328	789
294	329	787
295	330	785
296	330	782
297	331	780
298	331	777
299	332	775
300	332	772
301	333	770
302	333	767
303	334	765
304	334	763
305	335	760
306	335	758
307	336	756
308	336	753
309	337	751
310	338	748
311	338	746
312	339	744
313	339	742
314	340	739
315	340	737
316	341	735
317	342	733
318	342	731
319	343	729
320	343	727
321	344	725
322	344	722
323	345	720
324	345	718
325	346	716
326	347	714
327	347	712
328	348	709
329	348	707
330	349	705
331	349	703
332	350	701
333	350	699
334	351	697
335	351	695
336	352	693
337	353	691
338	353	689
339	354	687
340	354	685
341	355	683
342	355	681
343	356	679
344	356	677
345	357	675
346	357	673
347	358	671
348	359	669
349	359	667
350	360	665
351	360	663
352	361	661
353	361	659
354	362	658
355	362	656
356	363	654
357	363	652
358	364	650
359	364	648
360	365	646
361	365	644
362	366	643
363	366	641
364	367	639
365	367	637
366	368	635
367	369	633
368	369	632
369	370	630
370	370	628
371	371	626
372	371	624
373	372	623
374	372	621
375	373	619
376	373	618
377	374	616
378	375	614
379	375	612
380	376	610
381	376	609
382	377	607
383	377	605
384	378	604
385	378	602
386	379	600
387	379	599
388	380	597
389	381	596
390	381	594
391	382	592
392	382	591
393	383	589
394	383	587
395	384	586
396	385	585
397	386	583
398	386	582
399	387	580
400	387	579
401	388	578
402	389	576
403	389	575
404	390	573
405	391	572
406	391	570
407	392	569
408	393	568
409	393	566
410	394	565
411	395	564
412	395	562
413	396	561
414	397	559
415	397	558
416	398	556
417	398	555
418	399	553
419	399	552
420	400	550
421	401	549
422	401	548
423	402	546
424	403	545
425	403	544
426	404	542
427	404	541
428	405	539
429	406	538
430	406	536
431	407	535
432	407	533
433	408	532
434	408	530
435	409	529
436	409	527
437	410	526
438	410	525
439	411	523
440	411	522
441	412	520
442	413	519
443	413	518
444	414	516
445	414	515
446	415	513
447	415	512
448	416	511
449	417	509
450	417	508
451	418	506
452	418	505
453	419	504
454	419	502
455	420	501
456	420	499
457	421	498
458	421	497
459	422	495
460	422	494
461	423	493
462	424	491
463	424	490
464	425	489
465	425	487
466	426	486
467	426	485
468	427	483
469	427	482
470	428	481
471	428	479
472	429	478
473	430	477
474	430	475
475	431	474
476	431	473
477	432	471
478	432	470
479	433	469
480	433	467
481	434	466
482	434	465
483	435	464
484	435	462
485	436	461
486	436	460
487	437	458
488	438	457
489	438	456
490	439	455
491	439	453
492	440	452
493	440	451
494	441	450
495	441	449
496	442	447
497	443	446
498	443	445
499	444	444
500	444	443
501	445	441
502	445	440
503	446	439
504	446	438
505	447	436
506	447	435
507	448	434
508	448	433
509	449	431
510	450	430
511	450	429
512	451	428
513	451	427
514	452	425
515	452	424
516	453	423
517	453	422
518	454	421
519	454	419
520	455	418
521	455	417
522	456	416
523	457	415
524	458	414
525	458	413
526	459	412
527	459	410
528	460	409
529	460	408
530	461	407
531	461	406
532	462	405
533	462	404
534	463	402
535	464	401
536	464	400
537	465	399
538	465	398
539	466	397
540	466	396
541	467	394
542	467	393
543	468	392
544	468	391
545	469	390
546	470	389
547	470	388
548	471	387
549	471	386
550	472	384
551	472	383
552	473	382
553	473	381
554	474	380
555	475	379
556	475	378
557	476	377
558	476	376
559	477	375
560	477	373
561	478	372
562	478	371
563	479	370
564	480	369
565	480	368
566	481	367
567	481	366
568	482	365
569	482	364
570	483	363
571	483	361
572	484	360
573	484	359
574	485	358
575	486	357
576	486	356
577	487	355
578	487	354
579	488	353
580	488	352
581	489	351
582	489	350
583	490	349
584	490	348
585	491	347
586	492	346
587	492	345
588	493	344
589	493	343
590	494	342
591	494	341
592	495	340
593	496	339
594	496	338
595	497	337
596	497	335
597	498	334
598	498	333
599	499	333
600	500	332
601	501	331
602	502	330
603	502	329
604	503	328
605	504	328
606	505	327
607	506	326
608	506	325
609	507	324
610	507	323
611	508	322
612	509	321
613	509	320
614	510	319
615	511	318
616	511	317
617	512	316
618	513	315
619	513	314
620	514	313
621	514	312
622	515	311
623	516	311
624	516	310
