iter	Passed	Remaining
0	142	142568
1	144	72279
2	146	48695
3	147	36814
4	149	29736
5	150	24981
6	151	21522
7	152	18932
8	153	16892
9	154	15255
10	154	13922
11	155	12817
12	156	11864
13	156	11048
14	157	10344
15	158	9725
16	158	9181
17	159	8692
18	160	8264
19	160	7870
20	161	7513
21	161	7197
22	162	6902
23	163	6633
24	163	6387
25	164	6161
26	165	5948
27	165	5755
28	166	5571
29	167	5399
30	167	5242
31	168	5091
32	168	4950
33	169	4818
34	170	4690
35	170	4572
36	171	4458
37	172	4354
38	172	4251
39	173	4153
40	173	4065
41	174	3978
42	175	3896
43	175	3814
44	176	3744
45	177	3673
46	178	3609
47	178	3542
48	179	3480
49	179	3418
50	180	3360
51	181	3305
52	181	3251
53	182	3196
54	183	3147
55	183	3097
56	184	3048
57	184	3002
58	185	2956
59	186	2915
60	186	2877
61	187	2837
62	188	2798
63	188	2763
64	189	2727
65	190	2693
66	190	2658
67	191	2624
68	191	2590
69	192	2557
70	193	2525
71	193	2497
72	194	2466
73	194	2438
74	195	2411
75	196	2384
76	196	2358
77	197	2332
78	197	2307
79	198	2284
80	199	2259
81	199	2235
82	200	2210
83	200	2186
84	201	2165
85	201	2145
86	202	2124
87	203	2104
88	203	2085
89	204	2066
90	204	2046
91	205	2029
92	206	2013
93	207	1995
94	207	1979
95	208	1962
96	208	1944
97	209	1928
98	210	1912
99	210	1897
100	211	1880
101	211	1865
102	212	1851
103	213	1837
104	213	1823
105	214	1809
106	215	1795
107	215	1782
108	216	1768
109	217	1755
110	217	1743
111	218	1730
112	218	1718
113	219	1706
114	220	1693
115	220	1682
116	221	1669
117	221	1659
118	222	1648
119	223	1637
120	223	1626
121	224	1614
122	224	1603
123	225	1592
124	226	1582
125	226	1572
126	227	1561
127	227	1551
128	228	1541
129	228	1532
130	229	1522
131	230	1513
132	230	1504
133	231	1495
134	232	1486
135	232	1478
136	233	1470
137	234	1462
138	234	1453
139	235	1446
140	236	1438
141	236	1429
142	237	1421
143	237	1413
144	238	1405
145	238	1397
146	239	1390
147	240	1382
148	240	1374
149	241	1366
150	241	1358
151	242	1351
152	242	1344
153	243	1337
154	244	1330
155	244	1323
156	245	1316
157	245	1309
158	246	1303
159	247	1297
160	247	1289
161	247	1282
162	248	1275
163	248	1269
164	249	1262
165	250	1256
166	250	1251
167	251	1246
168	252	1240
169	252	1234
170	253	1228
171	254	1222
172	254	1216
173	255	1211
174	255	1205
175	256	1199
176	256	1193
177	257	1188
178	257	1182
179	258	1177
180	258	1171
181	259	1166
182	260	1161
183	260	1156
184	261	1151
185	261	1146
186	262	1141
187	263	1136
188	263	1131
189	264	1127
190	265	1122
191	265	1118
192	266	1114
193	267	1109
194	267	1104
195	268	1099
196	268	1095
197	269	1090
198	269	1086
199	270	1081
200	270	1077
201	271	1072
202	272	1068
203	272	1063
204	273	1059
205	273	1055
206	274	1051
207	275	1047
208	275	1043
209	276	1039
210	276	1035
211	277	1030
212	277	1026
213	278	1022
214	279	1018
215	279	1014
216	280	1011
217	281	1008
218	281	1004
219	282	1001
220	283	997
221	283	993
222	284	990
223	284	986
224	285	982
225	285	978
226	286	975
227	286	971
228	287	968
229	288	965
230	288	961
231	289	958
232	290	955
233	290	952
234	291	948
235	292	945
236	292	942
237	293	938
238	293	934
239	294	931
240	294	928
241	295	925
242	295	921
243	296	919
244	297	916
245	297	912
246	298	909
247	298	906
248	299	903
249	300	900
250	300	897
251	301	894
252	301	891
253	302	888
254	303	885
255	303	882
256	304	879
257	304	876
258	305	873
259	305	870
260	306	868
261	307	865
262	307	862
263	308	859
264	308	856
265	309	853
266	309	850
267	310	847
268	311	845
269	311	842
270	312	840
271	312	837
272	313	834
273	314	832
274	314	829
275	315	826
276	315	823
277	316	821
278	316	818
279	317	816
280	318	813
281	318	811
282	319	808
283	319	806
284	320	803
285	320	801
286	321	798
287	322	796
288	322	793
289	323	791
290	323	788
291	324	786
292	324	784
293	325	781
294	326	779
295	326	777
296	327	775
297	328	773
298	328	770
299	329	768
300	330	766
301	330	764
302	331	761
303	331	759
304	332	757
305	333	755
306	333	753
307	334	751
308	334	748
309	335	746
310	336	744
311	336	742
312	337	740
313	337	738
314	338	736
315	339	733
316	339	731
317	340	729
318	340	727
319	341	725
320	342	724
321	343	722
322	343	720
323	344	718
324	344	716
325	345	713
326	345	711
327	346	709
328	347	707
329	347	705
330	348	703
331	348	701
332	349	699
333	349	697
334	350	695
335	351	693
336	351	692
337	352	690
338	352	688
339	353	686
340	354	684
341	354	682
342	355	680
343	356	679
344	356	677
345	357	675
346	358	673
347	358	671
348	359	670
349	360	668
350	360	666
351	361	665
352	361	663
353	362	661
354	363	659
355	363	657
356	364	655
357	364	654
358	365	652
359	365	650
360	366	648
361	366	646
362	367	644
363	368	643
364	368	641
365	369	639
366	369	637
367	370	636
368	371	635
369	371	633
370	372	631
371	373	630
372	373	628
373	374	626
374	375	625
375	375	623
376	376	622
377	377	620
378	377	618
379	378	617
380	379	615
381	379	614
382	380	612
383	380	611
384	381	609
385	382	607
386	382	606
387	383	604
388	383	602
389	384	601
390	384	599
391	385	598
392	386	596
393	387	595
394	387	594
395	388	592
396	389	590
397	389	589
398	390	588
399	391	586
400	391	585
401	392	583
402	392	582
403	393	580
404	394	579
405	394	577
406	395	576
407	395	574
408	396	572
409	397	571
410	397	570
411	398	568
412	398	566
413	399	565
414	399	563
415	400	562
416	401	560
417	402	559
418	402	558
419	403	557
420	404	555
421	404	554
422	405	552
423	405	551
424	406	549
425	406	548
426	407	546
427	408	545
428	408	543
429	409	542
430	409	540
431	410	539
432	410	538
433	411	536
434	412	535
435	412	533
436	413	532
437	413	531
438	414	529
439	415	528
440	415	526
441	416	525
442	417	524
443	417	523
444	418	521
445	418	520
446	419	519
447	420	517
448	420	516
449	421	515
450	421	513
451	422	512
452	423	510
453	423	509
454	424	508
455	424	506
456	425	505
457	425	503
458	426	502
459	427	501
460	427	499
461	428	498
462	428	497
463	429	495
464	429	494
465	430	493
466	431	492
467	431	490
468	432	489
469	433	488
470	433	487
471	434	485
472	434	484
473	435	483
474	436	481
475	436	480
476	437	479
477	437	477
478	438	476
479	438	475
480	439	474
481	439	472
482	440	471
483	441	470
484	441	469
485	442	467
486	443	466
487	443	465
488	444	464
489	444	462
490	445	461
491	446	460
492	446	459
493	447	458
494	448	457
495	448	455
496	449	454
497	449	453
498	450	452
499	450	450
500	451	449
501	452	448
502	452	447
503	453	446
504	453	444
505	454	443
506	454	442
507	455	441
508	455	439
509	456	438
510	457	437
511	457	436
512	458	435
513	458	433
514	459	432
515	460	431
516	460	430
517	461	429
518	462	428
519	463	427
520	463	426
521	464	425
522	464	423
523	465	422
524	465	421
525	466	420
526	467	419
527	467	418
528	468	416
529	468	415
530	469	414
531	470	413
532	470	412
533	471	411
534	471	410
535	472	408
536	473	407
537	473	406
538	474	405
539	474	404
540	475	403
541	475	402
542	476	400
543	477	399
544	477	398
545	478	397
546	478	396
547	479	395
548	480	394
549	480	393
550	481	392
551	481	390
552	482	389
553	482	388
554	483	387
555	483	386
556	484	385
557	485	384
558	485	383
559	486	382
560	486	381
561	487	380
562	488	379
563	488	377
564	489	376
565	490	375
566	490	374
567	491	373
568	491	372
569	492	371
570	493	370
571	493	369
572	494	368
573	494	367
574	495	366
575	496	365
576	496	364
577	497	363
578	497	361
579	498	360
580	498	359
581	499	358
582	500	357
583	500	356
584	501	355
585	501	354
586	502	353
587	503	352
588	504	351
589	505	351
590	505	350
591	506	349
592	507	348
593	508	347
594	509	346
595	509	345
596	510	344
597	510	343
598	511	342
599	512	341
600	512	340
601	513	339
602	514	338
603	514	337
604	515	336
605	516	335
606	516	334
607	517	333
608	518	332
609	518	331
610	519	330
611	520	329
612	520	328
613	521	328
614	522	327
615	523	326
616	524	325
617	524	324
618	525	323
619	526	322
620	526	321
621	527	320
622	528	319
623	528	318
624	529	317
625	530	316
626	530	315
627	531	314
628	531	313
629	532	312
630	533	311
631	533	310
632	534	309
633	535	308
634	535	307
635	536	306
636	536	306
637	537	305
638	538	304
639	538	303
640	539	302
641	539	301
642	540	300
643	541	299
644	541	298
645	542	297
646	542	296
647	543	295
648	543	294
649	544	293
650	545	292
651	545	291
652	546	290
653	546	289
654	547	288
655	548	287
656	548	286
657	549	285
658	549	284
659	550	283
660	551	282
661	551	281
662	552	280
663	553	279
664	553	278
665	554	277
666	554	277
667	555	276
668	555	275
669	556	274
670	557	273
671	557	272
672	558	271
673	559	270
674	559	269
675	560	268
676	560	267
677	561	266
678	562	265
679	562	264
680	563	263
681	563	262
682	564	262
683	565	261
684	565	260
685	566	259
686	567	258
687	567	257
688	568	256
689	569	255
690	569	254
691	570	253
692	571	253
693	571	252
694	572	251
695	573	250
696	573	249
697	574	248
698	574	247
699	575	246
700	575	245
701	576	244
702	577	243
703	577	242
704	578	242
705	579	241
706	579	240
707	580	239
708	581	238
709	581	237
710	582	236
711	583	236
712	584	235
713	584	234
714	585	233
715	586	232
716	586	231
717	587	230
718	587	229
719	588	228
720	589	228
721	589	227
722	590	226
723	590	225
724	591	224
725	592	223
726	592	222
727	593	221
728	593	220
729	594	219
730	595	219
731	595	218
732	596	217
733	596	216
734	597	215
735	598	214
736	598	213
737	599	212
738	600	212
739	600	211
740	601	210
741	602	209
742	602	208
743	603	207
744	603	206
745	604	205
746	604	204
747	605	204
748	606	203
749	606	202
750	607	201
751	608	200
752	608	199
753	609	198
754	610	197
755	610	197
756	611	196
757	611	195
758	612	194
759	613	193
760	614	192
761	614	192
762	615	191
763	616	190
764	617	189
765	617	188
766	618	187
767	618	186
768	619	186
769	620	185
